typeId,extractedName,catalogName,idMatch,nameMatch,notes
agarita,Agarita,,No,No,Review naming/type ID
bitterweed,Bitterweed,Bitterweed,Yes,Yes,Exact match
blood-flower,Blood Flower,Blood Flower,Yes,Yes,Exact match
cardinal-flower,Cardinal Flower,,No,No,Review naming/type ID
chocolate-daisy,Chocolate Daisy,Chocolate Daisy,Yes,Yes,Exact match
creek-plum,Creek Plum,,No,No,Review naming/type ID
texas-bluebonnet,Texas Bluebonnet,Texas Bluebonnet,Yes,Yes,Exact match
wild-rhubarb,Wild Rhubarb,Wild Rhubarb,Yes,Yes,Exact match
wisteria,Wisteria,Wisteria,Yes,Yes,Exact match
